id,recommendation_name,category,sub_category,provider_scope,source_provider,recommendation_type,priority,end_user_value,implementation_complexity,primary_metrics,baseline_thresholds,lookback_window,native_or_saas_data_source,third_party_saas_options,product_catalog_dependency,compatibility_group,onboarding_to_engine,basic_engine_support,notes_and_guardrails
BR-0068,"Oversized minimum capacity (SaaS, strict)",Compute,ASG/VMSS/MIG,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,SchedulePause,P1,High,Medium,min_capacity;p5_required_capacity;nonprod_tag,min_capacity>p5_required*1.5 AND nonprod=true; strict mode adds 20% safety headroom,14d,SaaS REST APIs; exports; webhooks; collectors,Datadog;Spot.io,node/instance hourly rates,compute.vm.same-architecture-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower min capacity or schedule; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0069,"Oversized minimum capacity (FinOps, standard)",Compute,ASG/VMSS/MIG,FinOps,FinOps Basic Provider Registry + Signal Catalog,SchedulePause,P1,High,Medium,min_capacity;p5_required_capacity;nonprod_tag,min_capacity>p5_required*1.5 AND nonprod=true,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Datadog;Spot.io,node/instance hourly rates,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower min capacity or schedule; baseline threshold as listed
BR-0070,"Oversized minimum capacity (FinOps, strict)",Compute,ASG/VMSS/MIG,FinOps,FinOps Basic Provider Registry + Signal Catalog,SchedulePause,P1,High,Medium,min_capacity;p5_required_capacity;nonprod_tag,min_capacity>p5_required*1.5 AND nonprod=true; strict mode adds 20% safety headroom,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Datadog;Spot.io,node/instance hourly rates,compute.vm.same-architecture-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower min capacity or schedule; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0071,"Idle GPU instance or node (AWS, standard)",Compute,GPU,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m,1d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; baseline threshold as listed
BR-0072,"Idle GPU instance or node (AWS, strict)",Compute,GPU,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m; strict mode adds 20% safety headroom,1d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0073,"Idle GPU instance or node (Azure, standard)",Compute,GPU,Azure,Azure Advisor / Azure Monitor / Cost Management,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m,1d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; baseline threshold as listed
BR-0074,"Idle GPU instance or node (Azure, strict)",Compute,GPU,Azure,Azure Advisor / Azure Monitor / Cost Management,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m; strict mode adds 20% safety headroom,1d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0075,"Idle GPU instance or node (GCP, standard)",Compute,GPU,GCP,Google Cloud Recommender / Monitoring / Billing Export,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m,1d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; baseline threshold as listed
BR-0076,"Idle GPU instance or node (GCP, strict)",Compute,GPU,GCP,Google Cloud Recommender / Monitoring / Billing Export,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m; strict mode adds 20% safety headroom,1d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0077,"Idle GPU instance or node (SaaS, standard)",Compute,GPU,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m,1d,SaaS REST APIs; exports; webhooks; collectors,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; baseline threshold as listed
BR-0078,"Idle GPU instance or node (SaaS, strict)",Compute,GPU,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m; strict mode adds 20% safety headroom,1d,SaaS REST APIs; exports; webhooks; collectors,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0079,"Idle GPU instance or node (FinOps, standard)",Compute,GPU,FinOps,FinOps Basic Provider Registry + Signal Catalog,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m,1d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; baseline threshold as listed
BR-0080,"Idle GPU instance or node (FinOps, strict)",Compute,GPU,FinOps,FinOps Basic Provider Registry + Signal Catalog,Shutdown,P0,Very High,Medium,gpu_util_pct;gpu_mem_used_pct;job_queue_depth,avg_gpu_util<5%;gpu_mem<10%;queue_depth=0 for 30m; strict mode adds 20% safety headroom,1d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,run:ai;Spot.io;W&B;Datadog,GPU sku hourly rate; reservation type,compute.gpu.same-accelerator-architecture,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,From attached AI CostVars Layer 1; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0081,"Low GPU SM utilization (AWS, standard)",Compute,GPU,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; baseline threshold as listed
BR-0082,"Low GPU SM utilization (AWS, strict)",Compute,GPU,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d; strict mode adds 20% safety headroom,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0083,"Low GPU SM utilization (Azure, standard)",Compute,GPU,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; baseline threshold as listed
BR-0084,"Low GPU SM utilization (Azure, strict)",Compute,GPU,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d; strict mode adds 20% safety headroom,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0085,"Low GPU SM utilization (GCP, standard)",Compute,GPU,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d,7d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; baseline threshold as listed
BR-0086,"Low GPU SM utilization (GCP, strict)",Compute,GPU,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d; strict mode adds 20% safety headroom,7d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0087,"Low GPU SM utilization (SaaS, standard)",Compute,GPU,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d,7d,SaaS REST APIs; exports; webhooks; collectors,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; baseline threshold as listed
BR-0088,"Low GPU SM utilization (SaaS, strict)",Compute,GPU,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d; strict mode adds 20% safety headroom,7d,SaaS REST APIs; exports; webhooks; collectors,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0089,"Low GPU SM utilization (FinOps, standard)",Compute,GPU,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d,7d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; baseline threshold as listed
BR-0090,"Low GPU SM utilization (FinOps, strict)",Compute,GPU,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,Very High,High,gpu_sm_util_pct;tensor_active_pct;tokens_per_sec,p50_gpu_sm_util<40% for 7d; strict mode adds 20% safety headroom,7d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,W&B;NVIDIA Nsight;run:ai,GPU family; target GPU; memory fit,compute.gpu.same-accelerator-architecture,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Tune batch or downsize GPU tier; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0091,"GPU memory overprovision (AWS, standard)",Compute,GPU,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; baseline threshold as listed
BR-0092,"GPU memory overprovision (AWS, strict)",Compute,GPU,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0; strict mode adds 20% safety headroom,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0093,"GPU memory overprovision (Azure, standard)",Compute,GPU,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; baseline threshold as listed
BR-0094,"GPU memory overprovision (Azure, strict)",Compute,GPU,Azure,Azure Advisor / Azure Monitor / Cost Management,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0; strict mode adds 20% safety headroom,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0095,"GPU memory overprovision (GCP, standard)",Compute,GPU,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0,7d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; baseline threshold as listed
BR-0096,"GPU memory overprovision (GCP, strict)",Compute,GPU,GCP,Google Cloud Recommender / Monitoring / Billing Export,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0; strict mode adds 20% safety headroom,7d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0097,"GPU memory overprovision (SaaS, standard)",Compute,GPU,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0,7d,SaaS REST APIs; exports; webhooks; collectors,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; baseline threshold as listed
BR-0098,"GPU memory overprovision (SaaS, strict)",Compute,GPU,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0; strict mode adds 20% safety headroom,7d,SaaS REST APIs; exports; webhooks; collectors,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0099,"GPU memory overprovision (FinOps, standard)",Compute,GPU,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0,7d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; baseline threshold as listed
BR-0100,"GPU memory overprovision (FinOps, strict)",Compute,GPU,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,High,Medium,gpu_mem_peak_gib;gpu_mem_total_gib;oom_events,peak_mem/total_mem<45% AND oom_events=0; strict mode adds 20% safety headroom,7d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,run:ai;W&B;NVIDIA NIM,GPU memory and target GPU,compute.gpu.same-accelerator-architecture,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Downsize or use MIG slice; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0101,"Unattached disk delete (AWS, standard)",Storage,Block,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; baseline threshold as listed
BR-0102,"Unattached disk delete (AWS, strict)",Storage,Block,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo; strict mode adds 20% safety headroom,14d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0103,"Unattached disk delete (Azure, standard)",Storage,Block,Azure,Azure Advisor / Azure Monitor / Cost Management,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; baseline threshold as listed
BR-0104,"Unattached disk delete (Azure, strict)",Storage,Block,Azure,Azure Advisor / Azure Monitor / Cost Management,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo; strict mode adds 20% safety headroom,14d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0105,"Unattached disk delete (GCP, standard)",Storage,Block,GCP,Google Cloud Recommender / Monitoring / Billing Export,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; baseline threshold as listed
BR-0106,"Unattached disk delete (GCP, strict)",Storage,Block,GCP,Google Cloud Recommender / Monitoring / Billing Export,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo; strict mode adds 20% safety headroom,14d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0107,"Unattached disk delete (SaaS, standard)",Storage,Block,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo,14d,SaaS REST APIs; exports; webhooks; collectors,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; baseline threshold as listed
BR-0108,"Unattached disk delete (SaaS, strict)",Storage,Block,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo; strict mode adds 20% safety headroom,14d,SaaS REST APIs; exports; webhooks; collectors,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; prod-safe threshold: require +20% stronger evidence and owner approval
BR-0109,"Unattached disk delete (FinOps, standard)",Storage,Block,FinOps,FinOps Basic Provider Registry + Signal Catalog,DeleteOrphan,P0,Very High,Low,attachment_state;age_days;monthly_cost,unattached AND age>14d AND cost>$5/mo,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,CloudHealth;Cloudability,disk sku and monthly rate,storage.block.same-volume-performance-family,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Snapshot before delete if required; baseline threshold as listed
