recommendation_id,recommendation_name,recommendation_type,category,subcategory,technology,description,business_impact,estimated_savings_notes,feasibility,feasibility_notes,performance_gain_type,performance_gain_parameter,csp_aws,csp_azure,csp_gcp,csp_oci,saas_finops,saas_flexera,saas_apptio,saas_harness,saas_datadog,saas_cloudhealth,savings_pct_typical,problem_severity,implementation_complexity,priority_notes,remarks,documentation_link,
R041,GCP BigQuery Slot Commitment,cost_saving,Data Analytics,Data Warehouse,GCP BigQuery Editions (Standard; Enterprise; Enterprise Plus),Purchase BigQuery slot commitments for predictable query workloads instead of on-demand slot pricing.,30-50% reduction vs on-demand slot pricing for teams with consistent query loads.,On-demand slot usage > baseline for 30 days consistently. GCP BigQuery Edition Slot Recommender API.,Practical,GCP Recommender API (BigQuery slot recommender) + BigQuery jobs API.,,,No,No,Yes – BigQuery Edition Slot Recommender API,No,Yes,Yes,Yes,Partial,Partial,Yes,30-50%,High,Medium,GCP-specific.,,https://cloud.google.com/bigquery/docs/billing/optimizing-billing,
R042,GCP BigQuery Table Partitioning and Clustering,cost_saving,Data Analytics,Data Warehouse,GCP BigQuery tables,Recommend partitioning and clustering for large BigQuery tables that are queried without filter pushdown. Reduces bytes scanned per query.,10-40% query cost reduction. BigQuery charges per TB scanned.,Table > 1 GB with full scans > 50% of queries detected. GCP BigQuery Recommender API.,Practical,GCP Recommender API (BigQuery table optimization) + BigQuery INFORMATION_SCHEMA.,,,No,No,Yes – BigQuery Recommender API,No,Yes,Yes,Yes,Partial,Partial,Yes,10-40%,High,Medium,GCP BigQuery specific. Engineering change required.,,,
R043,Idle Data Warehouse Cluster,cost_saving,Data Analytics,Data Warehouse,AWS Redshift; Azure Synapse Analytics; Snowflake on cloud,Identify idle or severely underutilized data warehouse clusters that could be paused or deleted.,DW clusters are expensive. 100% savings when paused. Variable when downsized.,`CPU < 5% AND queries = 0` for 7 days. Cluster-level metrics.,Practical,CloudWatch Redshift metrics (DatabaseConnections; CPUUtilization) native. Azure Monitor Synapse metrics. Snowflake requires Snowflake-level query to ACCOUNT_USAGE views.,,,Yes – CloudWatch AWS/Redshift,Yes – Azure Monitor Synapse,Partial – Snowflake (requires ACCOUNT_USAGE query; not native CSP API),No,Yes,Yes,Yes,Yes,Partial,Yes,Variable,High,Medium,Architecture review needed for Snowflake.,Snowflake on GCP/Azure/AWS requires Snowflake ACCOUNT_USAGE.WAREHOUSE_METERING_HISTORY query.,,
R044,GCP Cloud Run CPU Allocation Optimization,cost_saving,Compute,Serverless,GCP Cloud Run,GCP: Recommend switching Cloud Run service CPU allocation (always-on vs request-based) based on invocation frequency and cold start cost.,Optimize CPU model. Always-on is better for high-frequency services; request-only for infrequent.,Invocation rate and CPU usage pattern. GCP Cloud Run Recommender API.,Practical,GCP Recommender API (Cloud Run) + GCP Cloud Monitoring (CloudRun metrics) native.,,,No,No,Yes – GCP Cloud Run Recommender API,No,Yes,Yes,Yes,Partial,Partial,Yes,Variable,Medium,Low,GCP-specific.,,,
R045,Azure Hybrid Benefit (License Optimization),cost_saving,Compute,Virtual Machine,Azure VM (Windows Server); Azure SQL Database; Azure SQL MI; Azure Dedicated Host,Apply Azure Hybrid Benefit using existing on-premises Windows Server or SQL Server licenses to reduce Azure VM and SQL Database costs.,Up to 40% savings on eligible resources. License-Included pricing removed.,Eligible VMs/SQL identified. Check if AHB flag enabled via Azure Resource Manager API.,Practical,Azure Resource Manager API returns HybernateEnabled / licenseType property. Azure Advisor surfaces these.,,,No,Yes – Azure Advisor (Hybrid Benefit recommendation),No,No,Yes,Yes,Yes,Yes,Partial,Yes,Up to 40%,High,Low,High value for customers with MSFT enterprise agreements.,,,
R046,Spot / Preemptible / Low-Priority Instances,cost_saving,Compute,Virtual Machine,AWS Spot Instances; GCP Spot VMs (Preemptible); Azure Spot VMs; Azure Low-Priority (Batch),Recommend Spot/Preemptible instances for fault-tolerant workloads (batch; CI/CD; ML training; rendering).,50-90% discount vs on-demand. Massive cost reduction for interruption-tolerant workloads.,Current on-demand workloads with workload type = batch / CI / non-critical identified via tag or pattern.,Practical,No special API needed. Instance inventory (type) from EC2 DescribeInstances. Tags or workload classification needed.,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,50-90%,High,Medium,Tolerance for interruption required. Needs workload classification.,,,
R047,Azure Data Explorer (ADX) Optimization,cost_saving,Data Analytics,Data Warehouse,Azure Data Explorer (ADX),Right-size or scale down underutilized Azure Data Explorer cluster. ADX charges by cluster size continuously.,ADX is billed by cluster instance count × tier. Downsize = direct proportional saving.,`CPU < 30% AND ingestion < threshold` for 7 days. Azure Monitor ADX metrics.,Practical,Azure Monitor ADX metrics (CPU; Ingestion latency) native.,,,No,Yes – Azure Advisor + Azure Monitor ADX,No,No,Yes,Yes,Yes,Partial,Partial,Yes,Variable,Medium,Medium,Azure-specific.,,,
R048,OCI Enable Compute Monitoring,cost_saving,Compute,Virtual Machine,OCI Compute Instances,Flag OCI Compute instances without monitoring enabled. Without monitoring no rightsizing or idle recommendations can be generated.,Indirect. Enables R001 and R002 for OCI instances.,OCI ListInstances: instances without monitoring plugin enabled.,Practical,OCI Instance Agent Monitoring API.,,,No,No,No,Yes – OCI Instance Agent API,Yes,Partial,Partial,No,No,Partial,Indirect,Medium,Low,Pre-requisite for OCI rightsizing advisories. Flag as enablement.,,,
R049,Tag Compliance and Cost Allocation Gaps,cost_saving,Governance,Tagging,All cloud resources (AWS; Azure; GCP; OCI),Report resources missing required tags (e.g. team; project; cost-center; environment). Enables accurate showback / chargeback and supports resource cleanup.,Indirect: enables cost allocation. Direct: untagged resources often also orphaned.,`Required tag(s) missing` on resource. % cost unallocated.,Practical,Native CSP resource tagging APIs: AWS Resource Groups Tagging API; Azure Resource Graph; GCP Asset Inventory; OCI Tag Namespaces.,,,Yes – AWS Resource Groups Tagging API,Yes – Azure Resource Graph,Yes – GCP Asset Inventory API,Yes – OCI Tag Namespace + Resource Search,Yes,Yes,Yes,Yes,Partial,Yes,Indirect,High,Medium,FinOps Inform phase foundational. Enables all chargeback.,,,
R050,Cost Anomaly Detection and Alerting,cost_saving,Governance,Monitoring,AWS Cost Anomaly Detection; Azure Cost Management Alerts; GCP Budget Anomaly Detection,Detect statistically significant cost spikes vs historical baseline. Alert before over-spend compounds.,Early detection can prevent 10-100% overspend incidents. No direct saving but major risk reduction.,Spend > 2σ above rolling 7-day baseline. ML-based or threshold-based.,Practical,AWS Cost Anomaly Detection (native API). Azure Cost Management + Budgets API. GCP Billing Budget API.,,,Yes – AWS Cost Anomaly Detection API,Yes – Azure Cost Management Alerts API,Yes – GCP Budget Anomaly Detection API,Partial,Yes,Yes,Yes,Yes,Yes,Yes,Variable (risk reduction),High,Low,Fast win. Use CSP-native anomaly detection. SaaS adds ML sophistication.,,,
R051,Oracle SGA Sizing Optimization,performance,Database,Database,Oracle Database (on OCI; AWS RDS Oracle; Azure Database Oracle),Oracle SGA (System Global Area) undersized relative to SGA_MAX_SIZE. Extend to reduce disk I/O and improve cache hit rate.,Improves DB throughput; reduces physical reads; defers need to scale to larger instance.,SGA_TARGET < SGA_MAX_SIZE AND cache hit ratio below threshold (e.g. < 90%).,Specialized,Requires Oracle AWR/ADDM data or Oracle Enterprise Manager metrics. Not available via native CSP APIs. Needs DB-level observability agent (OEM; Oracle Management Cloud; or custom AWR query).,Efficiency,SGA utilization %; cache hit ratio improvement %; deferred scale-up; incident reduction.,No,No,No,Partial – OCI Database Management,Yes,Partial,Partial,No,No,Partial,,Medium,High,Oracle-specific. Requires DB observability agent or AWR access.,Metrics not available via CSP native APIs. Requires Oracle EM or custom AWR query.,,
R052,Oracle DBA Cache / Buffer Pool Sizing,performance,Database,Database,Oracle Database,Buffer cache undersized. DB_CACHE_SIZE below optimal relative to DB_CACHE_ADVICE output.,Improves buffer cache hit ratio; reduces physical reads; improves query performance.,DB cache hit ratio < 90% AND DB_CACHE_ADVICE shows benefit from increase.,Specialized,Requires Oracle AWR data or DB-level observability agent.,Efficiency,Cache hit ratio %; physical reads reduction %; deferred scale-up.,No,No,No,Partial,Yes,Partial,Partial,No,No,Partial,,Medium,High,Oracle-specific. AWR data required.,Requires DB-level observability (Oracle EM; AWR query).,,
R053,Oracle High Logical Reads,performance,Database,Database,Oracle Database,Detect unusually high logical reads per transaction. Indicates poorly optimized SQL or missing indexes.,High logical reads → high CPU → instance scale-up avoidable with SQL optimization.,Logical reads (Redo per second in AWR Load Profile) > threshold for N consecutive AWR snapshots.,Specialized,Oracle AWR Load Profile data. Not available via native CSP metrics. Requires DB-level agent or AWR export.,Both,CPU reduction %; logical IO reduction; deferred rightsizing; incident reduction.,No,No,No,Partial,Yes,Partial,Partial,No,No,Partial,,Medium,High,Oracle-specific.,AWR/ADDM access required.,,
R054,Oracle Instance Efficiency Metrics,performance,Database,Database,Oracle Database,Oracle instance efficiency metrics (Buffer Nowait; Redo Nowait; Library Cache Hit; Dictionary Cache Hit; Soft Parse) below optimal thresholds.,Poor efficiency → heavy latch contention → performance degradation → over-provisioning.,Buffer Nowait < 99% OR Library Hit < 99% OR Soft Parse < 95% in AWR snapshot.,Specialized,Oracle AWR Instance Efficiency section. Not available via CSP native APIs.,Efficiency,Efficiency % improvement; latch contention reduction; deferred scale-up.,No,No,No,Partial,Yes,Partial,Partial,No,No,Partial,,Medium,High,Oracle-specific.,Requires Oracle AWR or Enterprise Manager.,,
R055,Oracle High Physical Reads,performance,Database,Database,Oracle Database,High physical reads per second indicate buffer cache miss. May indicate undersized SGA or inefficient SQL.,Reducing physical reads reduces storage IOPS cost (especially on io1/io2) and improves latency.,Physical reads per second > threshold in AWR Load Profile for N snapshots.,Specialized,Oracle AWR Load Profile. DB-level observability agent required. Not native CSP metric.,Both,Physical IO reduction %; IOPS cost reduction; deferred instance resize.,No,No,No,Partial,Yes,Partial,Partial,No,No,Partial,,Medium,High,Oracle-specific. Reduces IO cost directly.,Also reduces EBS/OCI Block Storage IOPS cost.,,
R056,Oracle Shared Pool and Parse Optimization,performance,Database,Database,Oracle Database,High hard parse ratio or undersized shared pool. Hard parses are CPU-intensive and indicate missing bind variables or undersized shared pool.,Reducing hard parses frees CPU headroom; may avoid scale-up.,Hard Parses / Parses > 10% in AWR Load Profile.,Specialized,Oracle AWR Parse statistics. DB-level observability required.,Efficiency,Hard parse ratio reduction %; CPU freed %; deferred scale-up.,No,No,No,Partial,Yes,Partial,Partial,No,No,Partial,,Medium,High,Oracle-specific.,Requires AWR access or Oracle EM agent.,,
R057,Managed MySQL / MariaDB / PostgreSQL Rightsizing,cost_saving,Database,Database,AWS RDS (MySQL; MariaDB; PostgreSQL); Azure Database for MySQL; Azure Database for MariaDB; Azure Database for PostgreSQL; GCP Cloud SQL,Right-size underutilized managed open-source database instances. Often over-provisioned at initial setup.,20-40% DB spend reduction. Commonly over-provisioned.,`CPU < 30%` and FreeableMemory high for 14 days. Same rule as R031 but scoped to these engines.,Practical,CloudWatch RDS CPUUtilization + FreeableMemory (native). Azure Monitor DB metrics. GCP Cloud SQL Monitoring.,,,Yes – CloudWatch AWS/RDS (engine filter),Yes – Azure Monitor DB metrics (MySQL; PostgreSQL),Yes – GCP Cloud SQL Monitoring,No – use R038/R039,Yes,Yes,Yes,Yes,Partial,Yes,20-40%,High,Medium,Same mechanics as R031. Keep separate for engine-level reporting.,,,
R058,Idle Search Cluster (OpenSearch / Elasticsearch),cost_saving,Database,Search,AWS OpenSearch Service; Azure Elastic on Azure; GCP Elasticsearch (Elastic Cloud on GCP),Downsize or delete idle or severely underutilized search clusters.,Reduce search cluster cost. Fixed hourly charge even when idle.,CPU < 5% AND indexing rate = 0 AND search rate = 0 for 7 days.,Practical,CloudWatch OpenSearch metrics native. Azure Monitor for Elastic native. GCP Monitoring for Elastic.,,,Yes – CloudWatch AWS/ES metrics,Yes – Azure Monitor Elastic metrics,Partial – GCP Elastic via GCP Monitoring or Elastic API,No,Yes,Yes,Yes,Partial,Partial,Yes,Variable,Medium,Medium,Cross-CSP.,,,
R059,Data Transfer / Egress Cost Optimization,cost_saving,Network,Data Transfer,Cross-region / cross-AZ egress; CDN; AWS Data Transfer; Azure Bandwidth; GCP Network Egress,Reduce cross-region and cross-AZ data transfer cost. Use same-region resources; VPC Endpoints; CDN for repeat content; data compression.,Egress is often 5-15% of bill and growing. Architecture change gives sustained savings.,Identify top talkers: cross-region bytes > threshold. Flag resources transferring significant data across regions.,Practical (detection). High complexity (fix).,Requires flow logs or billing analysis to identify egress patterns.,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes,5-15% network,High,High,High impact but architectural change needed.,AWS VPC Flow Logs (not free); Azure NSG Flow Logs; GCP VPC Flow Logs needed for granular analysis.,,
R060,AWS Savings Plan Selection Optimization,cost_saving,Compute,Commitment Discounts,AWS Compute Savings Plans; AWS EC2 Instance Savings Plans,AWS: Recommend the optimal type of Savings Plan (Compute vs EC2 Instance) based on instance family flexibility needs and coverage gap.,Maximize savings rate while retaining flexibility. EC2 Instance SP gives higher discount; Compute SP gives more flexibility.,Coverage gap by instance family. Cost Explorer SP recommendation API.,Practical,AWS Cost Explorer GetSavingsPlansPurchaseRecommendation API.,,,Yes – Cost Explorer API,No,No,No,Yes,Yes,Yes,Yes,Partial,Yes,Variable,High,Medium,AWS-specific. Builds on R005.,,https://docs.aws.amazon.com/cost-management/latest/userguide/sp-recommendations.html,
R061,Unused VPN Gateway,cost_saving,Network,VPN,AWS Site-to-Site VPN; Azure VPN Gateway; GCP Cloud VPN,Delete or downsize idle VPN gateways with no active tunnels / traffic.,Fixed hourly charge. 100% savings when deleted.,`Tunnel state = DOWN` or bytes = 0 for 14 days. VPN metrics APIs.,Practical,CloudWatch VPN TunnelState + TunnelDataIn/Out native. Azure Monitor VPN Gateway metrics. GCP Cloud Monitoring VPN metrics.,,,Yes – CloudWatch AWS/VPN metrics,Yes – Azure Monitor VPN Gateway metrics,Yes – GCP Cloud Monitoring VPN metrics,Partial – OCI VPN metrics,Yes,Yes,Yes,Partial,Partial,Yes,100% when idle,Medium,Low,Clear signal. Easy detection.,,,
R062,Underutilized Direct Connect / ExpressRoute,cost_saving,Network,Dedicated Connection,AWS Direct Connect; Azure ExpressRoute,Review dedicated network connections where actual throughput is well below committed port speed.,High fixed monthly cost for committed bandwidth. Downsizing port speed or releasing saves significantly.,Throughput < 20% of committed capacity for 30 days. Contract review required.,Practical (detection). High complexity (contract change).,CloudWatch DirectConnect ConnectionBpsEgress/Ingress native. Azure Monitor ExpressRoute Circuit metrics native.,,,Yes,Yes,No,No,Yes,Yes,Yes,Partial,Partial,Yes,Variable,Medium,High,Contract change required. Flag for commercial review.,,,
R063,AWS Redshift Pause/Resume for Non-Prod,cost_saving,Data Analytics,Data Warehouse,AWS Redshift (Standard; RA3; DC2),AWS Redshift clusters in dev/test environments can be paused and resumed on schedule. Compute cost stops when paused.,100% compute cost savings during paused hours. Storage cost continues.,No queries for 4+ consecutive hours (off-hours pattern).,Practical,CloudWatch Redshift DatabaseConnections + QueryCount native.,,,Yes – CloudWatch AWS/Redshift,No,No,No,Yes,Yes,Yes,Yes,Partial,Yes,High when paused,High,Low,Easy win for dev/test clusters.,Pausing requires Redshift API call. Resume on query via JDBC/ODBC is supported.,,
R064,Azure SQL Database DTU / vCore Rightsizing,cost_saving,Database,Database,Azure SQL Database (DTU model and vCore model),Right-size Azure SQL Database tier (DTU) or vCore count based on actual CPU/DTU utilization.,Same as R031 for Azure SQL. DTU model customers often over-provisioned on initial setup.,Avg DTU consumption < 30% for 14 days. Azure Monitor SQL DB metrics.,Practical,Azure Monitor SQL Database metrics (cpu_percent; dtu_consumption_percent) native.,,,No,Yes – Azure Monitor SQL DB,No,No,Yes,Yes,Yes,Yes,Partial,Yes,20-40%,High,Medium,Azure SQL-specific.,,,
R065,Overprovisioned Monitoring / Observability,cost_saving,Governance,Monitoring,AWS CloudWatch (custom metrics; dashboards; log retention); Azure Monitor (log retention); GCP Cloud Logging,Reduce monitoring spend: custom metrics exceeding free tier; excessive log retention; unused dashboards.,Often 2-5% of cloud bill for large environments. Trimmable without impacting observability.,Custom metric count; log retention > 90 days; unused dashboards with no views.,Practical,CloudWatch ListMetrics + PutDashboard count native. Azure Log Analytics workspace data volume. GCP Cloud Logging export size.,,,Yes – CloudWatch API,Yes – Azure Monitor API,Yes – GCP Cloud Logging API,No,Yes,Yes,Yes,Partial,Partial,Yes,2-5%,Low,Low,Low priority but easy identification.,,,
R066,AWS Lambda Provisioned Concurrency Right-Sizing,cost_saving,Compute,Serverless,AWS Lambda (Provisioned Concurrency),Reduce provisioned concurrency setting for Lambda when actual concurrent invocations consistently below provisioned level.,Provisioned concurrency billed by the hour regardless of invocations. Direct saving.,Provisioned concurrency > P99 actual concurrent invocations for 7 days.,Practical,CloudWatch Lambda ProvisionedConcurrencyInvocations + ProvisionedConcurrencyUtilization native.,,,Yes – CloudWatch AWS/Lambda,No,No,No,Yes,Yes,Yes,Yes,Partial,Yes,Variable,Medium,Low,AWS Lambda specific.,,,
R067,EC2 Instance Store vs EBS,cost_saving,Storage,Disk,AWS EC2 Instance Store,Architecture note: recommend using instance store (ephemeral) for temp/scratch data instead of EBS volumes to save storage cost for transient data.,Design change; not an automated advisory based on metrics.,Review if EBS volumes used for temp data. Workload-specific; engineering review.,Reference,Not automatable from metrics alone. Requires workload understanding. Best addressed in architecture review or tagging convention.,,,Yes,No,No,No,Yes,Partial,Partial,Partial,No,Partial,Variable,Low,High,Architecture recommendation. Not auto-detectable. Mark as Reference.,Cannot be reliably triggered by metrics alone. Suggest as design guideline.,,
R068,Azure Blob Storage Access Tier Optimization,cost_saving,Storage,Object Storage,Azure Blob Storage (Hot; Cool; Cold; Archive tiers),Move Azure Blob data not accessed in 30+ days to Cool / Cold / Archive tier. Mirrors R022 for Azure Blob specifically.,20-60% cost reduction on eligible blob storage.,Blob age + last access time > 30 days → Cool; > 90 days → Archive. Azure Blob Storage Lifecycle Management.,Practical,Azure Blob Storage Analytics (access log enabled). Last access time tracking (requires enabling via Azure portal or API).,,,No,Yes – Azure Blob Storage Insights + Lifecycle API,No,No,Yes,Yes,Yes,Yes,Yes,Yes,20-60%,High,Low,Last access time tracking must be enabled separately on each storage account.,,,
R069,AWS S3 Intelligent-Tiering Enablement,cost_saving,Storage,Object Storage,AWS S3 (Intelligent-Tiering storage class),Enable S3 Intelligent-Tiering for buckets with unknown or mixed access patterns. S3 auto-moves objects between tiers based on access.,Automatic 40-68% savings on objects not accessed for 30/90 days. No retrieval fee for frequent/infrequent tier.,Bucket has > 128 KB objects AND no lifecycle rule AND mixed access pattern. Use S3 Storage Lens.,Practical,AWS S3 Storage Lens (native; no agent). S3 API GetBucketLifecycleConfiguration.,,,Yes – S3 Storage Lens + GetBucketLifecycle API,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Variable,High,Low,Easy to recommend. Single API call to enable.,,,
R070,AWS Unused Elastic IP,cost_saving,Network,IP,AWS Elastic IP (EIP),AWS charges for Elastic IPs not associated with a running instance or in-use network interface. Release to save cost.,Low per-IP cost but accumulates at scale. $0.005/hr per idle EIP.,Association status = unassociated. EC2 DescribeAddresses API.,Practical,AWS EC2 DescribeAddresses API returns association status natively.,,,Yes – EC2 DescribeAddresses API,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Low-Medium,Medium,Low,Deduplicate with R026 (broader unused IP advisory). Keep as AWS-specific.,,,
R071,Auto Scaling Group / VMSS Rightsizing,cost_saving,Compute,Virtual Machine,AWS Auto Scaling Groups (EC2); Azure VMSS; GCP Managed Instance Groups (MIG),Reduce min/desired count or instance type for Auto Scaling Groups where baseline utilization is well below minimum.,Overprovisioned min capacity wastes money 24/7. 10-30% compute savings.,`Min capacity instances CPU < 30%` at baseline (non-peak hours) for 14 days.,Practical,CloudWatch ASG metrics (GroupInServiceInstances + CPUUtilization) native. Azure Monitor VMSS metrics.,,,Yes – CloudWatch AWS/EC2 ASG metrics,Yes – Azure Monitor VMSS metrics,Yes – GCP Cloud Monitoring MIG metrics,No,Yes,Yes,Yes,Yes,Partial,Yes,10-30%,High,Medium,Important for auto-scaling environments.,,,
R072,Azure Reserved Capacity for Cosmos DB / App Service / Storage,cost_saving,Database,Commitment Discounts,Azure Cosmos DB Reserved Capacity; Azure App Service Reserved Instances; Azure Storage Reserved Capacity,Azure reservations extend beyond VMs. Cosmos DB; App Service plans; Blob storage can all be reserved for 1/3 years.,Up to 65% for Cosmos DB; 50% for App Service with reservations.,Azure Advisor reservation recommendations. Usage > threshold for 30 days.,Practical,Azure Advisor Recommendations API (category=Cost; type=BuyReservedCapacity).,,,No,Yes – Azure Advisor Reservations API,No,No,Yes,Yes,Yes,Yes,Partial,Yes,30-65%,High,Medium,Azure-specific. Extends R007 to PaaS services.,,,
R073,Unattached / Idle Load Balancer,cost_saving,Network,Load Balancer,AWS ALB/NLB (no targets); Azure Load Balancer (no backend pool); GCP Forwarding Rules (no backends),Delete load balancers with no healthy backend targets / instances for 7+ days.,Fixed hourly cost with zero traffic. 100% savings when deleted.,Healthy host count = 0 OR request count = 0 for 7 days.,Practical,CloudWatch ALB HealthyHostCount native. Azure Monitor LB metrics. GCP Cloud Monitoring.,,,Yes – CloudWatch ALB/NLB HealthyHostCount,Yes – Azure Monitor LB backend pool health,Yes – GCP Cloud Monitoring Forwarding Rule metrics,Partial,Yes,Yes,Yes,Yes,Partial,Yes,100% idle,High,Low,Distinct from rightsizing (R027). No targets = certain waste.,,,
R074,Development / Test Environment Scheduling,cost_saving,Compute,Virtual Machine,All CSP VMs; Databases; Kubernetes clusters in non-prod,Schedule automatic start/stop of non-production environments outside working hours. Reduces running hours 60-70%.,Non-prod runs 24/7 but used 8-10h/day. 60-70% of non-prod compute cost recoverable.,Schedule-based: tag environment=dev/test; define stop time 7pm; start time 8am.,Practical,No special metrics needed. Tagging + CSP scheduler (AWS Instance Scheduler; Azure Automation; GCP Cloud Scheduler).,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,60-70% non-prod,High,Medium,Very high ROI. Simple tagging + scheduler.,,,
R075,Compute Optimizer EC2 / Lambda / EBS / ECS Recommendations,cost_saving,Compute,Virtual Machine,AWS EC2; AWS Lambda; AWS EBS; AWS ECS on EC2; AWS Auto Scaling Groups,Consume AWS Compute Optimizer recommendations which use ML on 14 days of CloudWatch data to recommend optimal instance type / size across EC2; EBS; Lambda; and ECS on EC2.,Best-in-class AWS rightsizing. Up to 25% savings identified automatically. Covers memory as well as CPU when CW Agent installed.,Compute Optimizer recommendation exists for resource. Use GetEC2InstanceRecommendations; GetLambdaFunctionRecommendations; GetEBSVolumeRecommendations; GetECSServiceRecommendations API.,Practical,AWS Compute Optimizer API. CPU native via CloudWatch. Memory requires CloudWatch Agent.,,,Yes – AWS Compute Optimizer API,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10-25%,Top,Low,Best source for AWS rightsizing. Surface and normalize.,Memory-based recommendations require CloudWatch Agent installed on EC2.,https://docs.aws.amazon.com/compute-optimizer/latest/ug/,
RS001,Harness CCM AutoStopping (Non-Prod),saas_specialized,Compute,Virtual Machine,AWS EC2/ASG/RDS; Azure VMs/AKS; GCP GCE/GKE; AWS EKS/ECS,Harness CCM AutoStopping: intelligently stop non-production cloud resources when idle and restart them transparently on-demand (DNS/proxy). Reduces non-prod cloud cost by 60-70%.,Non-prod resources run 24/7 but are used only 30-40% of the time. AutoStopping ensures 100% automatic cost recovery during idle periods with transparent access restoration (no change to DNS/IPs visible to users).,Resources in dev/test/staging with no active connections for N minutes. Harness monitors traffic via proxy/DNS.,Practical,Harness CCM-native feature. Does not require native CSP metrics. Harness installs a lightweight connector.,,,Yes – AWS (EC2; ASG; RDS; EKS; ECS),Yes – Azure (VMs; AKS),Yes – GCP (GCE; GKE; MIG),No,No,Partial,Partial,Yes,Partial,Partial,60-70% non-prod,Top,Medium,Harness CCM-specific feature not available natively in CSPs. Best-in-class non-prod optimization.,Harness CCM Specialized: AutoStopping is a Harness CCM proprietary feature. Requires Harness connector deployment.,https://developer.harness.io/docs/cloud-cost-management/use-ccm-cost-optimization/optimize-cloud-costs-with-intelligent-cloud-auto-stopping-rules/,
RS002,Harness CCM Kubernetes AutoStopping,saas_specialized,Container,Cluster,Kubernetes (EKS; AKS; GKE) namespaces and workloads,Harness CCM AutoStopping for Kubernetes: stop entire namespace workloads when idle; restart on request. Ideal for shared dev/test clusters running multiple team namespaces.,Kubernetes clusters often run 10-20 team namespaces; most idle at any point in time. AutoStopping recovers namespace-level compute cost.,Namespace with no active requests for N minutes. Harness K8s operator monitors Ingress/service traffic.,Practical,Harness CCM K8s operator (lightweight deployment in cluster).,,,Yes – EKS,Yes – AKS,Yes – GKE,No,No,No,Partial,Yes,No,No,60-70%,High,Medium,Harness CCM-specific feature. Namespace-level autostop unique to Harness.,Harness CCM Specialized: Kubernetes AutoStopping requires Harness CCM K8s operator.,https://developer.harness.io/docs/cloud-cost-management/,
RS003,Datadog Cloud Cost APM / Metric Correlation,saas_specialized,Compute,Virtual Machine,AWS EC2; Azure VM; GCP GCE (instrumented with Datadog APM),Datadog Cloud Cost Management correlates infrastructure cost with APM traces and metrics. Surfaces services with high unit cost (cost per request or transaction). Identifies over-provisioned services based on actual observed latency and throughput.,Identifies services where provisioned capacity is 2x+ what actual traffic requires. Enables engineering-led right-sizing based on observed performance data rather than just utilization %.,Datadog cost per unit (service metric / infrastructure cost ratio) above threshold.,Practical,Datadog APM Agent (must be deployed in application). Datadog Cloud Cost ingestion from CSP billing.,,,Yes,Yes,Yes,Partial,No,Partial,Partial,Partial,Yes,Partial,Variable,High,Medium,Datadog CCM-specific: APM-to-cost correlation is unique to observability-native tools. Requires Datadog APM agent.,Datadog Specialized: Requires Datadog APM agent deployed in services. Best for engineering teams already using Datadog observability.,https://docs.datadoghq.com/cloud_cost_management/,
RS004,Flexera Custom Policy Recommendations,saas_specialized,Governance,Custom Policy,All CSP resources (AWS; Azure; GCP; OCI),Flexera allows organizations to build and apply custom spend recommendations beyond standard rightsizing. Policy templates detect non-optimized resources based on custom logic (e.g. untagged + old + idle = delete).,Uncovers organization-specific savings opportunities not surfaced by native CSP tools. Custom policies can catch resource sprawl patterns unique to each customer's provisioning practices.,Custom policy condition met on resource inventory.,Practical,Flexera ingests CSP billing + inventory data. No additional agent typically required.,,,Yes,Yes,Yes,Yes,No,Yes,Partial,Partial,Partial,Partial,Variable,High,Medium,Flexera Specialized: Custom policy recommendation engine is a Flexera differentiator. Enables organization-specific savings not possible with CSP-native tools.,Flexera Specialized: Custom policy engine allows building advisories beyond standard rightsizing and RI/SP.,https://docs.flexera.com/flexeraone/EN/WhatsNew/FeatureList/CustomSpendRec.htm,
RS005,Apptio Cloudability Business Mapping and Chargeback,saas_specialized,Governance,Cost Allocation,All CSP billing data (AWS; Azure; GCP),Apptio Cloudability enables building financial models that map cloud spend to business units; products; teams and cost centers. Generates showback/chargeback recommendations and unallocated cost reports.,Enables financial accountability. Organizations with poor cost allocation see 15-30% waste from shared resources not tracked.,Unallocated spend > 20% of total cloud bill.,Practical,Apptio ingests CUR/billing exports. No additional infrastructure agent required.,,,Yes,Yes,Yes,Partial,No,Partial,Yes,Partial,No,Partial,Indirect,High,Medium,Apptio Specialized: Business-level cost modeling and chargeback recommendations unique to financial management SaaS tools.,Apptio (Cloudability) Specialized: Financial chargeback modeling and business-level allocation is Apptio's primary differentiator over native CSP tools.,https://cloudability.com/,
