rule_id,recommendation_id,rule_name,technology,metric_name,metric_collection_method,native_api_available,native_api_name,agent_required,agent_name,trend_days_required,rule_trigger,feasibility,savings_pct_typical,problem_severity,implementation_complexity,priority_score,savings_priority_rank,notes,
RL056,R056,Oracle Parse Activity,Oracle Database,Hard Parses per second; Parses per second; Library Cache Hit Ratio,DB Observability Agent (Oracle EM or AWR),No,,Agent required,Oracle AWR Load Profile: Parses / Hard Parses per second | v$sql hard_parse_count,1,Hard Parse ratio > 10% of total parses → recommend shared pool sizing or application bind variable review.,Specialized,,Medium,High,4,33,,
RL057,R057,MySQL/MariaDB/PostgreSQL Rightsizing,AWS RDS (MySQL; MariaDB; PostgreSQL); Azure DB for MySQL/MariaDB/PostgreSQL; GCP Cloud SQL,CPU Utilization %; FreeableMemory; Database connections; IOPS,Native API,Yes,AWS: CloudWatch CPUUtilization + FreeableMemory + DatabaseConnections namespace=AWS/RDS (DBInstanceIdentifier filter by engine) | Azure: Monitor cpu_percent + memory_percent namespace Microsoft.DBforMySQL/servers | GCP: Cloud SQL Monitoring,No,,14,Same trigger as RL031 applied to MySQL/PostgreSQL/MariaDB engine instances.,Practical,20-40%,High,Medium,2,17,,
RL058,R058,Search Cluster Idle Detection,AWS OpenSearch; Azure Elastic; GCP Elastic,CPU Utilization %; IndexingRate; SearchRate; JVMMemoryPressure,Native API,Yes,AWS: CloudWatch CPUUtilization + IndexingRate + SearchRate namespace=AWS/ES | Azure: Monitor AverageQueryLatency + DocumentCount | GCP: Elastic via Cloud Monitoring,No,,7,CPU < 5% AND IndexingRate = 0 AND SearchRate = 0 for 7 days → recommend STOP or DELETE.,Practical,Variable,Medium,Medium,3,23,,
RL059,R059,Cross-Region Egress Detection,AWS; Azure; GCP; OCI,Egress bytes by destination region; Egress cost by service,CSP Billing API + Flow Logs,Yes (Billing); Optional (Flow Logs),AWS: Cost and Usage Report (usagetype filter *DataTransfer-Out*; *Regional-DataTransfer*) | Azure: Billing API (bandwidth charges) | GCP: Cloud Billing export to BigQuery (sku.description LIKE '%Egress%'),Optional,AWS VPC Flow Logs (paid); Azure NSG Flow Logs; GCP VPC Flow Logs,30,Egress cost > 5% of total bill OR cross-region transfer > 1 TB/month → recommend architecture review (same-region resources; CDN; VPC Endpoints).,Practical (detection). High complexity (fix).,5-15% network,High,High,3,24,Flow Logs optional but provide per-destination analysis. Billing export alone identifies cost magnitude.,
RL060,R060,AWS Savings Plan Type Optimization,AWS Savings Plans,On-demand coverage by instance family; Compute vs EC2 SP coverage differential,CSP Billing API,Yes,AWS: Cost Explorer GetSavingsPlansCoverage + GetSavingsPlansPurchaseRecommendation (both SavingsPlanType=COMPUTE and EC2_INSTANCE),No,,30,Coverage gap identified → recommend Compute SP (more flexible) vs EC2 Instance SP (higher discount). Depends on instance family consistency.,Practical,Variable,High,Medium,2,9,,
RL061,R061,VPN Gateway Idle Detection,AWS Site-to-Site VPN; Azure VPN Gateway; GCP Cloud VPN,TunnelState; TunnelDataIn (bytes); TunnelDataOut (bytes),Native API,Yes,AWS: CloudWatch TunnelState + TunnelDataIn + TunnelDataOut namespace=AWS/VPN | Azure: Monitor P2SConnections + S2SBandwidth | GCP: Cloud Monitoring vpn.googleapis.com/tunnel/received_bytes_count,No,,14,TunnelDataIn = 0 AND TunnelDataOut = 0 for 14 days → recommend deleting VPN gateway.,Practical,100% when idle,Medium,Low,3,25,,
RL062,R062,Direct Connect / ExpressRoute Underutilization,AWS Direct Connect; Azure ExpressRoute,ConnectionBpsEgress; ConnectionBpsIngress; Port speed (committed),Native API,Yes,AWS: CloudWatch ConnectionBpsEgress + ConnectionBpsIngress namespace=AWS/DirectConnect | Azure: Monitor BitsInPerSecond + BitsOutPerSecond namespace=microsoft.network/expressroutecircuits,No,,30,Avg throughput < 20% of committed port speed for 30 days → recommend port speed downgrade or release.,Practical (detection). High complexity (commercial change).,Variable,Medium,High,3,26,,
RL063,R063,Redshift Off-Hours Pattern,AWS Redshift,DatabaseConnections; DatabaseConnectionsPerHour; QueryCount by hour,Native API,Yes,AWS: CloudWatch DatabaseConnections + QueriesCompleted namespace=AWS/Redshift (by hour via Period=3600),No,,14,No connections from 8pm-8am for 7+ consecutive days → recommend scheduled pause/resume.,Practical,High when paused,High,Low,2,10,,
RL064,R064,Azure SQL DTU Utilization,Azure SQL Database,DTU consumption %; CPU percent; Data IO percent; Log IO percent,Native API,Yes,Azure Monitor: dtu_consumption_percent + cpu_percent namespace=Microsoft.Sql/servers/databases,No,,14,Avg DTU < 30% for 14 days → recommend lower DTU tier.,Practical,20-40%,High,Medium,2,17,,
RL065,R065,Monitoring Overhead Reduction,AWS CloudWatch; Azure Log Analytics; GCP Cloud Logging,Custom metric count; Log ingestion GB/day; Dashboard count; Log retention days,Native API,Yes,AWS: CloudWatch ListMetrics (count custom metrics) + DescribeDashboards | Azure: Log Analytics workspace data volume + retention settings | GCP: Cloud Logging log volume metrics,No,,30,Custom metric cost > $X/month OR log retention > 90 days with low query frequency → review and reduce.,Practical,2-5%,Low,Low,4,34,,
RL066,R066,Lambda Provisioned Concurrency,AWS Lambda,ProvisionedConcurrencyInvocations; ProvisionedConcurrencyUtilization %,Native API,Yes,AWS: CloudWatch ProvisionedConcurrencyInvocations + ProvisionedConcurrencyUtilization namespace=AWS/Lambda,No,,7,ProvisionedConcurrencyUtilization < 60% consistently for 7 days → reduce provisioned concurrency.,Practical,Variable,Medium,Low,3,21,,
RL067,R067,EC2 Instance Store Reference,AWS EC2,N/A – Architecture review,Manual / Architecture Review,No,,N/A,No,,1,Flag only if tagged temp-data or scratch patterns identified. Not auto-triggerable.,Reference,Variable,Low,High,5,35,Architecture recommendation only. Cannot be auto-detected reliably from metrics.
RL068,R068,Azure Blob Access Tier,Azure Blob Storage,Blob last access time; Blob age; Blob tier; Storage account config,Native API,Yes,Azure: Storage Blob LastAccessTime (requires enabling access time tracking per storage account via UpdateBlobServiceProperties) | Blob Properties API | Azure Monitor,No,,30,Blob last access > 30 days → Cool tier. > 90 days → Archive. Lifecycle rule missing → recommend creation.,Practical,20-60%,High,Low,2,11,Last access tracking must be enabled via portal or API before historical data available.,
RL069,R069,S3 Intelligent-Tiering Coverage,AWS S3,Storage class per bucket; Lifecycle configuration; Storage Lens metrics,Native API,Yes,AWS: S3 GetBucketLifecycleConfiguration + S3 Storage Lens AccountSnapshot (bucketsByStorageClass; notConfiguredIntelligentTiering) | S3 API HeadObject (storageClass),No,,1,Bucket has no lifecycle rule AND has objects > 128 KB AND not already Intelligent-Tiering → recommend enabling S3 Intelligent-Tiering.,Practical,Variable,High,Low,2,12,,
RL070,R070,AWS Elastic IP Idle,AWS Elastic IP,EIP association status; Associated instance state,Native API,Yes,AWS: EC2 DescribeAddresses (all EIPs with allocationId) → check networkInterfaceId = null AND instanceId = null,No,,1,EIP is allocated AND not associated with running instance → recommend RELEASE.,Practical,Low-Medium,Medium,Low,3,27,,
RL071,R071,ASG Min Instance Right-Sizing,AWS Auto Scaling Groups; Azure VMSS; GCP MIG,GroupInServiceInstances; CPUUtilization across ASG; Max CPU during non-peak hours; Scale-out event count,Native API,Yes,AWS: CloudWatch GroupInServiceInstances + CPUUtilization namespace=AWS/AutoScaling | Azure: Monitor Percentage CPU on VMSS | GCP: Cloud Monitoring instance/cpu/utilization on MIG,No,,14,Min capacity running instances avg CPU < 30% at baseline (non-peak window) for 14 days → reduce min capacity or downsize instance type.,Practical,10-30%,High,Medium,2,14,,
RL072,R072,Azure PaaS Service Reservations,Azure Cosmos DB; Azure App Service; Azure Blob Storage,On-demand usage hours by service tier; Reservation coverage %,CSP Billing API,Yes,Azure Advisor Recommendations API: GET /providers/Microsoft.Advisor/recommendations?filter=category eq 'Cost' AND type eq 'BuyReservedCapacity',No,,30,On-demand spend > $300/month on eligible service for 30 days AND no reservation → recommend Azure reservation.,Practical,30-65%,High,Medium,2,8,,
RL073,R073,Idle Load Balancer (No Targets),AWS ALB/NLB; Azure LB; GCP Forwarding Rule,HealthyHostCount; RequestCount; ActiveConnectionCount,Native API,Yes,AWS: CloudWatch HealthyHostCount namespace=AWS/ApplicationELB (= 0) + RequestCount | Azure: Monitor BackendHealthPercentage | GCP: Cloud Monitoring https/backend_latencies count,No,,7,HealthyHostCount = 0 OR RequestCount = 0 for 7 days → recommend DELETE.,Practical,100% idle,High,Low,1,2,,
RL074,R074,Non-Prod Environment Scheduling,All VM types and DBs,Instance running hours; Environment tag value,Native API + Tagging,Yes,AWS: EC2 DescribeInstances (state=running + tag Environment=dev/test/staging) | Azure: VM list API | GCP: Compute Instances API,No,,1,Instance has environment tag = dev/test/staging AND no stop schedule configured → recommend scheduled start/stop.,Practical,60-70% non-prod,High,Medium,2,3,,
RL075,R075,AWS Compute Optimizer Recommendations,EC2; Lambda; EBS; ECS; ASG,Compute Optimizer pre-computed recommendation; CPU/memory utilization; Performance risk level,CSP Recommender API,Yes (CPU native); Optional (memory),AWS: Compute Optimizer API GetEC2InstanceRecommendations + GetLambdaFunctionRecommendations + GetEBSVolumeRecommendations + GetECSServiceRecommendations,Optional,CloudWatch Agent for memory-based recommendations,14,Compute Optimizer recommendation exists with performance risk = not-at-risk → surface recommendation and estimated savings.,Practical,10-25%,Top,Low,1,1,Memory recommendations require CloudWatch Agent. CPU-only recommendations available without agent.,
