id,recommendation_name,category,sub_category,provider_scope,source_provider,recommendation_type,priority,end_user_value,implementation_complexity,primary_metrics,baseline_thresholds,lookback_window,native_or_saas_data_source,third_party_saas_options,product_catalog_dependency,compatibility_group,onboarding_to_engine,basic_engine_support,notes_and_guardrails,recommendation_definition,expected_benefits,configurator_showcase,advisory_source,advisory_id,advisory_layer
BR-0317,"Overprovisioned memory (SaaS, standard)",Serverless,Functions,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,High,Medium,configured_memory_mb;max_memory_used_mb;duration_ms,max_memory<50% configured AND duration increase<10%,14d,SaaS REST APIs; exports; webhooks; collectors,Compute Optimizer;Datadog,function memory price curve,compute.serverless.same-runtime-plan,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Right-size memory setting; baseline threshold as listed,Overprovisioned memory identifies over- or under-sized resources and proposes a better-matched SKU or allocation for SaaS Serverless / Functions using configured_memory_mb;max_memory_used_mb;duration_ms over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0318,"Overprovisioned memory (SaaS, strict)",Serverless,Functions,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,RightsizeSku,P0,High,Medium,configured_memory_mb;max_memory_used_mb;duration_ms,max_memory<50% configured AND duration increase<10%; strict mode adds 20% safety headroom,14d,SaaS REST APIs; exports; webhooks; collectors,Compute Optimizer;Datadog,function memory price curve,compute.serverless.same-runtime-plan,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Right-size memory setting; prod-safe threshold: require +20% stronger evidence and owner approval,Overprovisioned memory identifies over- or under-sized resources and proposes a better-matched SKU or allocation for SaaS Serverless / Functions using configured_memory_mb;max_memory_used_mb;duration_ms over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0319,"Overprovisioned memory (FinOps, standard)",Serverless,Functions,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,High,Medium,configured_memory_mb;max_memory_used_mb;duration_ms,max_memory<50% configured AND duration increase<10%,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Compute Optimizer;Datadog,function memory price curve,compute.serverless.same-runtime-plan,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Right-size memory setting; baseline threshold as listed,Overprovisioned memory identifies over- or under-sized resources and proposes a better-matched SKU or allocation for FinOps Serverless / Functions using configured_memory_mb;max_memory_used_mb;duration_ms over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0320,"Overprovisioned memory (FinOps, strict)",Serverless,Functions,FinOps,FinOps Basic Provider Registry + Signal Catalog,RightsizeSku,P0,High,Medium,configured_memory_mb;max_memory_used_mb;duration_ms,max_memory<50% configured AND duration increase<10%; strict mode adds 20% safety headroom,14d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Compute Optimizer;Datadog,function memory price curve,compute.serverless.same-runtime-plan,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Right-size memory setting; prod-safe threshold: require +20% stronger evidence and owner approval,Overprovisioned memory identifies over- or under-sized resources and proposes a better-matched SKU or allocation for FinOps Serverless / Functions using configured_memory_mb;max_memory_used_mb;duration_ms over a 14d lookback.,"Reduces overprovisioning, improves utilization, and keeps performance headroom explicit. Expected value: High; implementation complexity: Medium.","Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0321,"Provisioned concurrency idle (AWS, standard)",Serverless,Functions,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; baseline threshold as listed,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for AWS Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0322,"Provisioned concurrency idle (AWS, strict)",Serverless,Functions,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned; strict mode adds 20% safety headroom,7d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; prod-safe threshold: require +20% stronger evidence and owner approval,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for AWS Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0323,"Provisioned concurrency idle (Azure, standard)",Serverless,Functions,Azure,Azure Advisor / Azure Monitor / Cost Management,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; baseline threshold as listed,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for Azure Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0324,"Provisioned concurrency idle (Azure, strict)",Serverless,Functions,Azure,Azure Advisor / Azure Monitor / Cost Management,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned; strict mode adds 20% safety headroom,7d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; prod-safe threshold: require +20% stronger evidence and owner approval,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for Azure Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0325,"Provisioned concurrency idle (GCP, standard)",Serverless,Functions,GCP,Google Cloud Recommender / Monitoring / Billing Export,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned,7d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; baseline threshold as listed,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for GCP Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0326,"Provisioned concurrency idle (GCP, strict)",Serverless,Functions,GCP,Google Cloud Recommender / Monitoring / Billing Export,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned; strict mode adds 20% safety headroom,7d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; prod-safe threshold: require +20% stronger evidence and owner approval,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for GCP Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0327,"Provisioned concurrency idle (SaaS, standard)",Serverless,Functions,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned,7d,SaaS REST APIs; exports; webhooks; collectors,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; baseline threshold as listed,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for SaaS Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0328,"Provisioned concurrency idle (SaaS, strict)",Serverless,Functions,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned; strict mode adds 20% safety headroom,7d,SaaS REST APIs; exports; webhooks; collectors,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; prod-safe threshold: require +20% stronger evidence and owner approval,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for SaaS Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0329,"Provisioned concurrency idle (FinOps, standard)",Serverless,Functions,FinOps,FinOps Basic Provider Registry + Signal Catalog,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned,7d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; baseline threshold as listed,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for FinOps Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0330,"Provisioned concurrency idle (FinOps, strict)",Serverless,Functions,FinOps,FinOps Basic Provider Registry + Signal Catalog,SchedulePause,P1,High,Medium,provisioned_concurrency;p95_concurrency;traffic_by_hour,p95_concurrency<50% provisioned; strict mode adds 20% safety headroom,7d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Datadog,provisioned concurrency cost,compute.serverless.same-runtime-plan,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Lower or schedule provisioned concurrency; prod-safe threshold: require +20% stronger evidence and owner approval,Provisioned concurrency idle identifies resources with predictable idle windows that can be paused on a schedule for FinOps Serverless / Functions using provisioned_concurrency;p95_concurrency;traffic_by_hour over a 7d lookback.,Cuts non-production and off-hours spend without changing the underlying service design. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0331,"Simple reservation coverage gap (AWS, standard)",Pricing,Commitments,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%,30d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; baseline threshold as listed,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for AWS Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0332,"Simple reservation coverage gap (AWS, strict)",Pricing,Commitments,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%; strict mode adds 20% safety headroom,30d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; prod-safe threshold: require +20% stronger evidence and owner approval,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for AWS Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0333,"Simple reservation coverage gap (Azure, standard)",Pricing,Commitments,Azure,Azure Advisor / Azure Monitor / Cost Management,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%,30d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; baseline threshold as listed,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for Azure Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0334,"Simple reservation coverage gap (Azure, strict)",Pricing,Commitments,Azure,Azure Advisor / Azure Monitor / Cost Management,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%; strict mode adds 20% safety headroom,30d,Advisor API; Azure Monitor; Resource Graph; Cost Export; Retail Prices API,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,App Registration SPN + Reader/Monitoring Reader/Cost Reader/Advisor Reader,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; prod-safe threshold: require +20% stronger evidence and owner approval,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for Azure Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0335,"Simple reservation coverage gap (GCP, standard)",Pricing,Commitments,GCP,Google Cloud Recommender / Monitoring / Billing Export,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%,30d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; baseline threshold as listed,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for GCP Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0336,"Simple reservation coverage gap (GCP, strict)",Pricing,Commitments,GCP,Google Cloud Recommender / Monitoring / Billing Export,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%; strict mode adds 20% safety headroom,30d,Recommender API; Cloud Monitoring; Cloud Asset Inventory; BigQuery Billing Export; Cloud Billing Catalog,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,Service account or WIF + recommender/monitoring/asset/billing export access,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; prod-safe threshold: require +20% stronger evidence and owner approval,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for GCP Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0337,"Simple reservation coverage gap (SaaS, standard)",Pricing,Commitments,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%,30d,SaaS REST APIs; exports; webhooks; collectors,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; baseline threshold as listed,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for SaaS Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0338,"Simple reservation coverage gap (SaaS, strict)",Pricing,Commitments,SaaS,CloudHealth / Cloudability / Densify / Datadog / Kubecost / Spot.io / Flexera,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%; strict mode adds 20% safety headroom,30d,SaaS REST APIs; exports; webhooks; collectors,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,API token + account/cluster/resource mapping to FinOps Signal Catalog,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; prod-safe threshold: require +20% stronger evidence and owner approval,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for SaaS Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0339,"Simple reservation coverage gap (FinOps, standard)",Pricing,Commitments,FinOps,FinOps Basic Provider Registry + Signal Catalog,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%,30d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; baseline threshold as listed,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for FinOps Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0340,"Simple reservation coverage gap (FinOps, strict)",Pricing,Commitments,FinOps,FinOps Basic Provider Registry + Signal Catalog,CommitmentReview,P0,Very High,Medium,on_demand_hours;coverage_pct;usage_stability_pct,coverage<70% AND stability>80%; strict mode adds 20% safety headroom,30d,Canonical Signal Catalog query; Product Catalog rate_delta; Reconciler outcomes,Cloudability;CloudHealth,reserved vs on-demand rates,pricing.commitment.same-provider-region-family-and-os,Manifest-driven integration + health probe + signal binding + backtest,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Basic flags/routes; portfolio optimizer is Advanced; prod-safe threshold: require +20% stronger evidence and owner approval,"Simple reservation coverage gap identifies commitment coverage, utilization, renewal, and purchase-review opportunities for FinOps Pricing / Commitments using on_demand_hours;coverage_pct;usage_stability_pct over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: Very High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0341,"Reservation underutilization (AWS, standard)",Pricing,Commitments,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,CommitmentReview,P1,High,Medium,ri_utilization_pct;unused_commitment_cost;expiry_days,utilization<80% AND unused_cost>$100/mo,30d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Cloudability;CloudHealth,commitment hourly rate,pricing.commitment.same-provider-region-family-and-os,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Exchange/sell/modify where available; baseline threshold as listed,"Reservation underutilization identifies commitment coverage, utilization, renewal, and purchase-review opportunities for AWS Pricing / Commitments using ri_utilization_pct;unused_commitment_cost;expiry_days over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
BR-0342,"Reservation underutilization (AWS, strict)",Pricing,Commitments,AWS,AWS Compute Optimizer / Cost Optimization Hub / Trusted Advisor,CommitmentReview,P1,High,Medium,ri_utilization_pct;unused_commitment_cost;expiry_days,utilization<80% AND unused_cost>$100/mo; strict mode adds 20% safety headroom,30d,CloudWatch; Compute Optimizer; Cost Explorer; CUR; Pricing API,Cloudability;CloudHealth,commitment hourly rate,pricing.commitment.same-provider-region-family-and-os,IAM cross-account role + CUR + CloudWatch/ComputeOptimizer read,Supported if listed metrics are available in Signal Catalog; native advisor rows can be imported as normalized Findings,Exchange/sell/modify where available; prod-safe threshold: require +20% stronger evidence and owner approval,"Reservation underutilization identifies commitment coverage, utilization, renewal, and purchase-review opportunities for AWS Pricing / Commitments using ri_utilization_pct;unused_commitment_cost;expiry_days over a 30d lookback.",Improves discount capture while keeping portfolio purchase decisions human-reviewed. Expected value: High; implementation complexity: Medium.,"Show source integration health, metric bindings, editable thresholds, lookback window, savings formula, Product Catalog dependency, compatibility group, suppression guardrails, approval owner, test/backtest result, and audit history.",,,
